"model","location","target_end_date","target_variable","value","location_name","population","geo_type","geo_value","abbreviation","full_location_name"
"Observed Data (JHU)","25",2021-01-02,"inc death",412,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
"Observed Data (JHU)","25",2021-01-09,"inc death",482,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
"Observed Data (JHU)","25",2021-01-16,"inc death",424,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
"Observed Data (JHU)","25",2021-01-23,"inc death",410,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
"Observed Data (JHU)","25",2021-01-30,"inc death",341,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
"Observed Data (JHU)","25",2021-02-06,"inc death",337,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
"Observed Data (JHU)","25",2021-02-13,"inc death",343,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
"Observed Data (JHU)","25",2021-02-20,"inc death",222,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
"Observed Data (JHU)","25",2021-02-27,"inc death",176,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
"Observed Data (JHU)","25",2021-03-06,"inc death",147,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
"Observed Data (JHU)","25",2021-03-13,"inc death",113,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
"Observed Data (JHU)","25",2021-03-20,"inc death",92,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
"Observed Data (JHU)","25",2021-03-27,"inc death",107,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
"Observed Data (JHU)","25",2021-04-03,"inc death",72,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
"Observed Data (JHU)","25",2021-04-10,"inc death",87,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
"Observed Data (JHU)","25",2021-04-17,"inc death",68,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
"Observed Data (JHU)","25",2021-04-24,"inc death",80,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
